time,thrust,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z
2545,0,0,0,1.5708,0.707107,0,0,0.707107
2550,0,0,0,1.5708,0.707107,0,0,0.707107
2555,0,0,0,1.5708,0.707107,0,0,0.707107
2560,0,0,0,1.5708,0.707107,0,0,0.707107
2565,0,0,0,1.5708,0.707107,0,0,0.707107
2570,0,0,0,1.5708,0.707107,0,0,0.707107
2575,0,0,0,1.5708,0.707107,0,0,0.707107
2580,0,0,0,1.5708,0.707107,0,0,0.707107
2585,0,0,0,1.5708,0.707107,0,0,0.707107
2590,0,0,0,1.5708,0.707107,0,0,0.707107
2595,0,0,0,1.5708,0.707107,0,0,0.707107
2600,0,0,0,1.5708,0.707107,0,0,0.707107
2605,0,0,0,1.5708,0.707107,0,0,0.707107
2610,0,0,0,1.5708,0.707107,0,0,0.707107
2615,0,0,0,1.5708,0.707107,0,0,0.707107
2620,0,0,0,1.5708,0.707107,0,0,0.707107
2625,0,0,0,1.5708,0.707107,0,0,0.707107
2630,0,0,0,1.5708,0.707107,0,0,0.707107
2635,0,0,0,1.5708,0.707107,0,0,0.707107
2640,0,0,0,1.5708,0.707107,0,0,0.707107
2645,0,0,0,1.5708,0.707107,0,0,0.707107
2650,0,0,0,1.5708,0.707107,0,0,0.707107
2655,0,0,0,1.5708,0.707107,0,0,0.707107
2660,0,0,0,1.5708,0.707107,0,0,0.707107
2665,0,0,0,1.5708,0.707107,0,0,0.707107
2670,0,0,0,1.5708,0.707107,0,0,0.707107
2675,0,0,0,1.5708,0.707107,0,0,0.707107
2680,0,0,0,1.5708,0.707107,0,0,0.707107
2685,0,0,0,1.5708,0.707107,0,0,0.707107
2690,0,0,0,1.5708,0.707107,0,0,0.707107
2695,0,0,0,1.5708,0.707107,0,0,0.707107
2700,0,0,0,1.5708,0.707107,0,0,0.707107
2705,0,0,0,1.5708,0.707107,0,0,0.707107
2710,0,0,0,1.5708,0.707107,0,0,0.707107
2715,0,0,0,1.5708,0.707107,0,0,0.707107
2720,0,0,0,1.5708,0.707107,0,0,0.707107
2725,0,0,0,1.5708,0.707107,0,0,0.707107
2730,0,0,0,1.5708,0.707107,0,0,0.707107
2735,0,0,0,1.5708,0.707107,0,0,0.707107
2740,0,0,0,1.5708,0.707107,0,0,0.707107
2745,0,0,0,1.5708,0.707107,0,0,0.707107
2750,0,0,0,1.5708,0.707107,0,0,0.707107
2755,0,0,0,1.5708,0.707107,0,0,0.707107
2760,0,0,0,1.5708,0.707107,0,0,0.707107
2765,0,0,0,1.5708,0.707107,0,0,0.707107
2770,0,0,0,1.5708,0.707107,0,0,0.707107
2775,0,0,0,1.5708,0.707107,0,0,0.707107
2780,0,0,0,1.5708,0.707107,0,0,0.707107
2785,0,0,0,1.5708,0.707107,0,0,0.707107
2790,0,0,0,1.5708,0.707107,0,0,0.707107
2795,0,0,0,1.5708,0.707107,0,0,0.707107
2800,0,0,0,1.5708,0.707107,0,0,0.707107
2805,0,0,0,1.5708,0.707107,0,0,0.707107
2810,0,0,0,1.5708,0.707107,0,0,0.707107
2815,0,0,0,1.5708,0.707107,0,0,0.707107
2820,0,0,0,1.5708,0.707107,0,0,0.707107
2825,0,0,0,1.5708,0.707107,0,0,0.707107
2830,0,0,0,1.5708,0.707107,0,0,0.707107
2835,0,0,0,1.5708,0.707107,0,0,0.707107
2840,0,0,0,1.5708,0.707107,0,0,0.707107
2845,0,0,0,1.5708,0.707107,0,0,0.707107
2850,0,0,0,1.5708,0.707107,0,0,0.707107
2855,0,0,0,1.5708,0.707107,0,0,0.707107
2860,0,0,0,1.5708,0.707107,0,0,0.707107
2865,0,0,0,1.5708,0.707107,0,0,0.707107
2870,0,0,0,1.5708,0.707107,0,0,0.707107
2875,0,0,0,1.5708,0.707107,0,0,0.707107
2880,0,0,0,1.5708,0.707107,0,0,0.707107
2885,0,0,0,1.5708,0.707107,0,0,0.707107
2890,0,0,0,1.5708,0.707107,0,0,0.707107
2895,0,0,0,1.5708,0.707107,0,0,0.707107
2900,0,0,0,1.5708,0.707107,0,0,0.707107
2905,0,0,0,1.5708,0.707107,0,0,0.707107
2910,0,0,0,1.5708,0.707107,0,0,0.707107
2915,0,0,0,1.5708,0.707107,0,0,0.707107
2920,0,0,0,1.5708,0.707107,0,0,0.707107
2925,0,0,0,1.5708,0.707107,0,0,0.707107
2930,0,0,0,1.5708,0.707107,0,0,0.707107
2935,0,0,0,1.5708,0.707107,0,0,0.707107
