time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
1280,0,0,0,0.0788766,0,0,-0.000168881,0.199562,-0.199562,-0.199562,0.199562
1285,0,0,0,0.0776403,0,0,-0.000117607,0.199461,-0.199461,-0.199461,0.199461
1290,0,0,0,0.0765159,0,0,-6.11845e-05,0.199349,-0.199349,-0.199349,0.199349
1295,0,0,0,0.0755106,0,0,2.22062e-07,-0.199229,0.199229,0.199229,-0.199229
1300,0,0,0,0.0745844,0,0,1.24812e-05,-0.199253,0.199253,0.199253,-0.199253
1305,0,0,0,0.0736622,0,0,5.93363e-06,-0.19924,0.19924,0.19924,-0.19924
1310,0,0,0,0.07274,0,0,-6.14207e-07,0.19923,-0.19923,-0.19923,0.19923
1315,0,0,0,0.0718177,0,0,-7.16239e-06,0.199243,-0.199243,-0.199243,0.199243
1320,0,0,0,0.0708954,0,0,-1.37109e-05,0.199256,-0.199256,-0.199256,0.199256
1325,0,0,0,0.0699732,0,0,-2.02588e-05,0.199269,-0.199269,-0.199269,0.199269
1330,0,0,0,0.0690508,0,0,-2.68076e-05,0.199282,-0.199282,-0.199282,0.199282
1335,0,0,0,0.0681283,0,0,-3.3357e-05,0.199294,-0.199294,-0.199294,0.199294
1340,0,0,0,0.067206,0,0,-3.99055e-05,0.199307,-0.199307,-0.199307,0.199307
1345,0,0,0,0.0662835,0,0,-4.64552e-05,0.19932,-0.19932,-0.19932,0.19932
1350,0,0,0,0.0653611,0,0,-5.30043e-05,0.199333,-0.199333,-0.199333,0.199333
1355,0,0,0,0.0644388,0,0,-5.95529e-05,0.199346,-0.199346,-0.199346,0.199346
1360,0,0,0,0.0635161,0,0,-6.61036e-05,0.199359,-0.199359,-0.199359,0.199359
1365,0,0,0,0.0625935,0,0,-7.2654e-05,0.199372,-0.199372,-0.199372,0.199372
1370,0,0,0,0.0616711,0,0,-7.92034e-05,0.199385,-0.199385,-0.199385,0.199385
1375,0,0,0,0.0607486,0,0,-8.57532e-05,0.199398,-0.199398,-0.199398,0.199398
1380,0,0,0,0.059826,0,0,-9.23038e-05,0.199411,-0.199411,-0.199411,0.199411
1385,0,0,0,0.0589034,0,0,-9.88539e-05,0.199424,-0.199424,-0.199424,0.199424
1390,0,0,0,0.0579808,0,0,-0.000105405,0.199437,-0.199437,-0.199437,0.199437
1395,0,0,0,0.0570581,0,0,-0.000111956,0.19945,-0.19945,-0.19945,0.19945
1400,0,0,0,0.0561372,0,0,-0.000115885,0.199457,-0.199457,-0.199457,0.199457
1405,0,0,0,0.0552283,0,0,-0.000112934,0.199452,-0.199452,-0.199452,0.199452
1410,0,0,0,0.0543431,0,0,-0.000103258,0.199432,-0.199432,-0.199432,0.199432
1415,0,0,0,0.0534933,0,0,-8.70565e-05,0.1994,-0.1994,-0.1994,0.1994
1420,0,0,0,0.0526895,0,0,-6.45283e-05,0.199356,-0.199356,-0.199356,0.199356
1425,0,0,0,0.0519424,0,0,-3.58652e-05,0.199299,-0.199299,-0.199299,0.199299
1430,0,0,0,0.0512617,0,0,-1.2563e-06,0.199231,-0.199231,-0.199231,0.199231
1435,0,0,0,0.0506569,0,0,3.91135e-05,-0.199306,0.199306,0.199306,-0.199306
1440,0,0,0,0.0500973,0,0,4.24636e-05,-0.199312,0.199312,0.199312,-0.199312
1445,0,0,0,0.0495383,0,0,3.84946e-05,-0.199305,0.199305,0.199305,-0.199305
1450,0,0,0,0.0489792,0,0,3.45255e-05,-0.199297,0.199297,0.199297,-0.199297
